iter	Passed	Remaining
0	7	7927
1	17	8864
2	24	8209
3	31	7829
4	36	7191
5	41	6794
6	43	6147
7	48	5971
8	52	5790
9	57	5696
10	62	5628
11	68	5639
12	72	5515
13	78	5503
14	82	5447
15	87	5382
16	94	5457
17	98	5357
18	103	5348
19	109	5360
20	114	5322
21	121	5387
22	127	5398
23	131	5343
24	137	5361
25	142	5356
26	147	5304
27	154	5367
28	160	5382
29	166	5398
30	170	5343
31	178	5386
32	187	5501
33	192	5482
34	199	5494
35	203	5448
36	207	5408
37	213	5411
38	218	5379
39	223	5363
40	228	5337
41	233	5328
42	239	5339
43	248	5405
44	253	5370
45	259	5371
46	266	5405
47	273	5417
48	280	5440
49	284	5404
50	290	5399
51	295	5388
52	305	5456
53	311	5457
54	316	5433
55	321	5413
56	325	5380
57	330	5373
58	334	5337
59	342	5367
60	346	5333
61	351	5322
62	356	5298
63	360	5268
64	363	5230
65	367	5195
66	372	5183
67	375	5149
68	379	5116
69	382	5085
70	387	5074
71	391	5041
72	394	5010
73	398	4985
74	402	4960
75	406	4936
76	409	4909
77	413	4887
78	417	4863
79	420	4836
80	424	4810
81	427	4789
82	431	4765
83	435	4746
84	438	4723
85	442	4699
86	445	4675
87	448	4652
88	452	4633
89	456	4611
90	460	4595
91	463	4574
92	466	4552
93	470	4532
94	474	4523
95	478	4503
96	481	4482
97	485	4468
98	488	4448
99	492	4432
100	499	4445
101	502	4426
102	506	4410
103	509	4393
104	513	4378
105	520	4388
106	522	4362
107	526	4351
108	530	4339
109	539	4363
110	543	4351
111	547	4343
112	552	4339
113	560	4355
114	565	4348
115	570	4344
116	574	4333
117	577	4318
118	582	4310
119	586	4302
120	590	4291
121	594	4276
122	599	4273
123	602	4259
124	607	4250
125	611	4239
126	615	4232
127	619	4217
128	622	4204
129	626	4189
130	629	4178
131	633	4163
132	636	4148
133	640	4136
134	643	4124
135	647	4113
136	651	4101
137	654	4090
138	658	4078
139	662	4066
140	665	4055
141	669	4042
142	673	4036
143	677	4025
144	680	4014
145	684	4003
146	687	3991
147	691	3980
148	695	3973
149	699	3961
150	702	3950
151	705	3938
152	709	3926
153	713	3917
154	716	3905
155	719	3893
156	723	3883
157	726	3872
158	730	3862
159	733	3850
160	737	3840
161	742	3838
162	745	3829
163	749	3818
164	752	3808
165	756	3798
166	759	3787
167	765	3792
168	769	3783
169	773	3776
170	784	3801
171	788	3794
172	792	3787
173	801	3803
174	805	3795
175	810	3792
176	818	3805
177	822	3797
178	826	3792
179	834	3801
180	838	3794
181	842	3784
182	849	3794
183	854	3791
184	860	3789
185	866	3792
186	872	3792
187	876	3786
188	884	3797
189	889	3791
190	895	3792
191	900	3789
192	904	3782
193	909	3780
194	914	3775
195	920	3774
196	926	3775
197	930	3768
198	934	3762
199	941	3765
200	945	3758
201	949	3750
202	953	3742
203	958	3738
204	962	3730
205	965	3721
206	969	3713
207	974	3711
208	978	3703
209	982	3694
210	985	3685
211	990	3682
212	995	3678
213	999	3671
214	1004	3667
215	1012	3673
216	1016	3666
217	1019	3657
218	1025	3657
219	1030	3651
220	1034	3646
221	1038	3639
222	1047	3649
223	1051	3641
224	1056	3638
225	1062	3639
226	1066	3632
227	1075	3640
228	1078	3630
229	1081	3622
230	1090	3628
231	1093	3620
232	1096	3611
233	1103	3612
234	1109	3610
235	1113	3604
236	1123	3615
237	1127	3608
238	1131	3602
239	1135	3595
240	1143	3599
241	1147	3592
242	1153	3593
243	1159	3592
244	1163	3586
245	1169	3584
246	1173	3577
247	1178	3573
248	1183	3568
249	1187	3563
250	1192	3558
251	1196	3552
252	1203	3553
253	1207	3546
254	1215	3550
255	1220	3546
256	1227	3548
257	1232	3545
258	1238	3542
259	1242	3536
260	1248	3535
261	1254	3532
262	1259	3528
263	1266	3531
264	1271	3527
265	1275	3519
266	1284	3526
267	1288	3520
268	1292	3512
269	1296	3504
270	1301	3500
271	1305	3493
272	1308	3485
273	1312	3477
274	1317	3473
275	1321	3466
276	1325	3460
277	1330	3456
278	1335	3451
279	1340	3446
280	1343	3438
281	1349	3434
282	1352	3427
283	1355	3418
284	1359	3410
285	1363	3403
286	1368	3400
287	1372	3392
288	1375	3384
289	1379	3378
290	1383	3371
291	1387	3364
292	1391	3356
293	1394	3349
294	1399	3345
295	1404	3339
296	1407	3332
297	1411	3324
298	1415	3318
299	1418	3310
300	1421	3302
301	1425	3294
302	1429	3287
303	1432	3280
304	1436	3272
305	1439	3264
306	1443	3257
307	1446	3250
308	1450	3242
309	1453	3236
310	1455	3225
311	1458	3217
312	1462	3210
313	1466	3203
314	1469	3196
315	1473	3190
316	1477	3182
317	1480	3175
318	1484	3168
319	1487	3161
320	1490	3153
321	1494	3147
322	1498	3140
323	1501	3133
324	1505	3125
325	1508	3119
326	1512	3112
327	1515	3105
328	1519	3098
329	1522	3090
330	1525	3084
331	1529	3077
332	1532	3070
333	1534	3060
334	1539	3055
335	1543	3051
336	1548	3046
337	1552	3039
338	1555	3032
339	1560	3028
340	1563	3021
341	1567	3014
342	1570	3008
343	1574	3002
344	1578	2997
345	1582	2990
346	1585	2984
347	1590	2979
348	1593	2973
349	1598	2968
350	1602	2963
351	1606	2957
352	1611	2953
353	1614	2946
354	1618	2939
355	1621	2933
356	1626	2929
357	1630	2923
358	1633	2916
359	1637	2910
360	1641	2904
361	1644	2898
362	1647	2891
363	1651	2885
364	1654	2879
365	1658	2873
366	1661	2866
367	1665	2860
368	1669	2854
369	1673	2849
370	1677	2843
371	1681	2838
372	1684	2831
373	1688	2825
374	1693	2821
375	1696	2815
376	1699	2809
377	1703	2802
378	1707	2798
379	1711	2791
380	1714	2785
381	1718	2779
382	1721	2773
383	1725	2768
384	1729	2762
385	1732	2756
386	1735	2749
387	1740	2744
388	1743	2738
389	1747	2733
390	1750	2726
391	1754	2720
392	1757	2714
393	1761	2709
394	1764	2703
395	1769	2698
396	1775	2696
397	1779	2691
398	1784	2687
399	1789	2683
400	1796	2682
401	1800	2677
402	1810	2682
403	1814	2677
404	1819	2672
405	1828	2674
406	1832	2669
407	1838	2667
408	1842	2661
409	1847	2658
410	1853	2656
411	1862	2657
412	1866	2652
413	1871	2648
414	1873	2641
415	1879	2639
416	1884	2634
417	1889	2631
418	1893	2625
419	1898	2621
420	1905	2620
421	1909	2614
422	1918	2616
423	1923	2613
424	1928	2608
425	1936	2608
426	1941	2604
427	1944	2599
428	1950	2595
429	1956	2593
430	1960	2588
431	1964	2583
432	1973	2584
433	1979	2581
434	1986	2580
435	1990	2575
436	1998	2574
437	2005	2572
438	2009	2567
439	2013	2562
440	2020	2561
441	2025	2556
442	2029	2552
443	2037	2551
444	2041	2546
445	2046	2541
446	2055	2543
447	2059	2538
448	2070	2540
449	2074	2535
450	2081	2533
451	2093	2537
452	2101	2537
453	2104	2531
454	2108	2525
455	2112	2520
456	2120	2519
457	2125	2514
458	2128	2509
459	2136	2508
460	2141	2503
461	2145	2497
462	2152	2497
463	2156	2491
464	2160	2486
465	2169	2485
466	2172	2479
467	2176	2474
468	2184	2473
469	2188	2467
470	2191	2461
471	2196	2456
472	2200	2451
473	2203	2445
474	2207	2439
475	2208	2431
476	2213	2426
477	2216	2420
478	2219	2414
479	2223	2408
480	2226	2402
481	2229	2396
482	2233	2390
483	2236	2384
484	2240	2378
485	2243	2372
486	2247	2367
487	2251	2362
488	2254	2356
489	2259	2351
490	2263	2346
491	2267	2340
492	2271	2335
493	2275	2330
494	2279	2325
495	2282	2319
496	2286	2314
497	2290	2308
498	2295	2304
499	2298	2298
500	2302	2293
501	2306	2287
502	2309	2282
503	2313	2276
504	2316	2270
505	2320	2265
506	2325	2260
507	2330	2257
508	2334	2251
509	2339	2248
510	2346	2245
511	2350	2240
512	2354	2235
513	2359	2231
514	2365	2228
515	2369	2222
516	2374	2218
517	2381	2216
518	2385	2210
519	2393	2209
520	2398	2205
521	2403	2200
522	2408	2196
523	2414	2193
524	2418	2187
525	2422	2183
526	2426	2177
527	2430	2172
528	2433	2166
529	2438	2162
530	2442	2157
531	2446	2152
532	2449	2146
533	2454	2142
534	2459	2137
535	2464	2133
536	2468	2128
537	2472	2123
538	2478	2119
539	2483	2115
540	2489	2111
541	2492	2106
542	2497	2102
543	2502	2097
544	2508	2094
545	2517	2093
546	2525	2091
547	2531	2088
548	2536	2083
549	2546	2083
550	2550	2078
551	2556	2074
552	2561	2070
553	2565	2065
554	2572	2062
555	2576	2057
556	2583	2054
557	2590	2051
558	2596	2048
559	2601	2043
560	2606	2039
561	2612	2035
562	2616	2030
563	2623	2027
564	2630	2025
565	2636	2022
566	2641	2017
567	2646	2012
568	2652	2008
569	2656	2003
570	2663	2001
571	2669	1997
572	2674	1993
573	2679	1988
574	2685	1984
575	2689	1979
576	2694	1975
577	2698	1969
578	2707	1968
579	2712	1964
580	2718	1960
581	2727	1958
582	2731	1953
583	2740	1952
584	2744	1947
585	2756	1947
586	2760	1942
587	2762	1935
588	2766	1930
589	2774	1927
590	2779	1923
591	2787	1921
592	2790	1915
593	2794	1910
594	2799	1905
595	2803	1900
596	2806	1894
597	2810	1889
598	2815	1884
599	2819	1879
600	2823	1874
601	2827	1869
602	2832	1865
603	2837	1860
604	2842	1855
605	2847	1851
606	2856	1849
607	2859	1843
608	2864	1839
609	2869	1834
610	2872	1828
611	2876	1823
612	2881	1819
613	2885	1813
614	2889	1808
615	2892	1803
616	2899	1800
617	2904	1795
618	2908	1790
619	2912	1785
620	2919	1781
621	2923	1776
622	2927	1771
623	2934	1768
624	2937	1762
625	2941	1757
626	2947	1753
627	2950	1747
628	2953	1742
629	2957	1736
630	2960	1731
631	2965	1726
632	2968	1721
633	2972	1715
634	2976	1710
635	2979	1705
636	2983	1700
637	2988	1695
638	2991	1690
639	2996	1685
640	3000	1680
641	3003	1675
642	3007	1669
643	3011	1664
644	3015	1659
645	3018	1654
646	3022	1649
647	3026	1643
648	3029	1638
649	3033	1633
650	3036	1628
651	3040	1622
652	3044	1617
653	3047	1612
654	3050	1606
655	3054	1601
656	3060	1597
657	3063	1592
658	3068	1587
659	3071	1582
660	3076	1577
661	3080	1572
662	3083	1567
663	3087	1562
664	3091	1557
665	3094	1552
666	3098	1546
667	3101	1541
668	3105	1536
669	3109	1531
670	3112	1526
671	3116	1521
672	3119	1515
673	3122	1510
674	3126	1505
675	3130	1500
676	3133	1495
677	3137	1490
678	3142	1485
679	3145	1480
680	3148	1474
681	3152	1469
682	3156	1465
683	3160	1459
684	3163	1454
685	3167	1449
686	3170	1444
687	3174	1439
688	3178	1434
689	3182	1429
690	3185	1424
691	3190	1420
692	3194	1415
693	3197	1409
694	3201	1404
695	3205	1400
696	3209	1395
697	3213	1390
698	3216	1385
699	3222	1380
700	3226	1376
701	3230	1371
702	3233	1366
703	3239	1361
704	3242	1356
705	3246	1351
706	3250	1346
707	3254	1342
708	3258	1337
709	3261	1332
710	3265	1327
711	3269	1322
712	3272	1317
713	3276	1312
714	3279	1307
715	3283	1302
716	3286	1297
717	3290	1292
718	3293	1287
719	3297	1282
720	3301	1277
721	3305	1272
722	3308	1267
723	3311	1262
724	3315	1257
725	3318	1252
726	3322	1247
727	3327	1243
728	3331	1238
729	3334	1233
730	3338	1228
731	3342	1223
732	3345	1218
733	3349	1213
734	3353	1208
735	3356	1204
736	3360	1199
737	3363	1194
738	3368	1189
739	3372	1184
740	3376	1180
741	3379	1175
742	3385	1171
743	3388	1166
744	3392	1161
745	3396	1156
746	3399	1151
747	3404	1146
748	3407	1141
749	3411	1137
750	3414	1132
751	3418	1127
752	3421	1122
753	3425	1117
754	3428	1112
755	3432	1107
756	3436	1103
757	3440	1098
758	3443	1093
759	3447	1088
760	3452	1084
761	3455	1079
762	3459	1074
763	3462	1069
764	3467	1065
765	3471	1060
766	3474	1055
767	3478	1050
768	3482	1045
769	3486	1041
770	3489	1036
771	3493	1031
772	3497	1027
773	3503	1022
774	3506	1018
775	3510	1013
776	3514	1008
777	3518	1004
778	3522	999
779	3525	994
780	3529	989
781	3534	985
782	3537	980
783	3541	975
784	3544	970
785	3548	966
786	3552	961
787	3556	956
788	3560	952
789	3563	947
790	3567	942
791	3571	937
792	3574	933
793	3577	928
794	3581	923
795	3585	918
796	3588	914
797	3592	909
798	3595	904
799	3599	899
800	3602	895
801	3606	890
802	3609	885
803	3612	880
804	3616	876
805	3620	871
806	3624	866
807	3627	862
808	3631	857
809	3635	852
810	3638	847
811	3642	843
812	3645	838
813	3649	833
814	3652	829
815	3656	824
816	3659	819
817	3663	815
818	3666	810
819	3670	805
820	3674	801
821	3678	796
822	3681	791
823	3685	787
824	3688	782
825	3692	777
826	3695	773
827	3699	768
828	3702	763
829	3705	759
830	3709	754
831	3713	749
832	3716	745
833	3720	740
834	3723	735
835	3728	731
836	3732	726
837	3735	722
838	3739	717
839	3743	713
840	3747	708
841	3751	703
842	3754	699
843	3758	694
844	3761	690
845	3765	685
846	3769	680
847	3772	676
848	3777	671
849	3781	667
850	3784	662
851	3788	658
852	3792	653
853	3796	649
854	3800	644
855	3803	639
856	3810	635
857	3815	631
858	3819	626
859	3824	622
860	3828	618
861	3831	613
862	3835	608
863	3840	604
864	3844	600
865	3847	595
866	3851	590
867	3855	586
868	3859	581
869	3863	577
870	3866	572
871	3870	568
872	3873	563
873	3877	558
874	3880	554
875	3883	549
876	3887	545
877	3891	540
878	3894	536
879	3897	531
880	3901	526
881	3904	522
882	3908	517
883	3911	513
884	3914	508
885	3918	504
886	3922	499
887	3926	495
888	3929	490
889	3933	486
890	3937	481
891	3940	477
892	3943	472
893	3947	468
894	3951	463
895	3957	459
896	3961	454
897	3965	450
898	3968	445
899	3973	441
900	3977	437
901	3981	432
902	3986	428
903	3989	423
904	3992	419
905	3996	414
906	3999	410
907	4003	405
908	4007	401
909	4010	396
910	4014	392
911	4018	387
912	4022	383
913	4026	378
914	4030	374
915	4033	369
916	4038	365
917	4041	361
918	4045	356
919	4050	352
920	4054	347
921	4058	343
922	4061	338
923	4065	334
924	4068	329
925	4072	325
926	4075	320
927	4079	316
928	4082	312
929	4086	307
930	4089	303
931	4093	298
932	4096	294
933	4100	289
934	4104	285
935	4107	280
936	4110	276
937	4114	271
938	4118	267
939	4121	263
940	4125	258
941	4128	254
942	4131	249
943	4135	245
944	4139	240
945	4142	236
946	4146	232
947	4149	227
948	4153	223
949	4157	218
950	4160	214
951	4163	209
952	4167	205
953	4170	201
954	4174	196
955	4177	192
956	4184	188
957	4187	183
958	4191	179
959	4194	174
960	4198	170
961	4201	165
962	4205	161
963	4208	157
964	4212	152
965	4217	148
966	4218	143
967	4221	139
968	4225	135
969	4229	130
970	4233	126
971	4237	122
972	4240	117
973	4244	113
974	4246	108
975	4250	104
976	4253	100
977	4257	95
978	4260	91
979	4264	87
980	4267	82
981	4271	78
982	4274	73
983	4278	69
984	4281	65
985	4285	60
986	4288	56
987	4292	52
988	4295	47
989	4299	43
990	4302	39
991	4306	34
992	4309	30
993	4314	26
994	4317	21
995	4321	17
996	4325	13
997	4328	8
998	4332	4
999	4335	0
